Source_Account,Destination_Account,Amount_IDR,Timestamp
3384936793,5100118102,"Rp 21.269.698",2026-05-25T10:00:00Z
1686572152,9625939270,"Rp 48.969.874",2026-05-25T10:00:00Z
6058205156,3318740050,"Rp 38.277.399",2026-05-25T10:00:00Z
5125511834,1453771788,"Rp 38.057.868",2026-05-25T10:00:00Z
7324500208,9576813451,"Rp 49.879.218",2026-05-25T10:00:00Z
6590319217,9023868221,"Rp 23.682.633",2026-05-25T10:00:00Z
1685517502,3277270804,"Rp 30.469.987",2026-05-25T10:00:00Z
9544449948,7735459665,"Rp 16.337.877",2026-05-25T10:00:00Z
4839687235,1102021944,"Rp 20.928.365",2026-05-25T10:00:00Z
2054084106,9215097078,"Rp 36.508.163",2026-05-25T10:00:00Z
5418446611,3759211062,"Rp 19.290.438",2026-05-25T10:00:00Z
9477173138,1508245665,"Rp 45.323.450",2026-05-25T10:00:00Z
7626828194,6076872417,"Rp 21.812.512",2026-05-25T10:00:00Z
3184770011,6567639553,"Rp 38.168.032",2026-05-25T10:00:00Z
4877590433,4707306165,"Rp 49.969.750",2026-05-25T10:00:00Z
9297178782,8242429443,"Rp 41.264.905",2026-05-25T10:00:00Z
1669337211,4604028292,"Rp 41.775.680",2026-05-25T10:00:00Z
9805968549,7392574265,"Rp 46.578.910",2026-05-25T10:00:00Z
5051254185,5413463746,"Rp 26.220.510",2026-05-25T10:00:00Z
4337378117,5516920584,"Rp 59.682.193",2026-05-25T10:00:00Z
6267041493,1825366048,"Rp 30.507.751",2026-05-25T10:00:00Z
2066072794,5486846135,"Rp 51.444.619",2026-05-25T10:00:00Z
9472170681,3799483084,"Rp 54.862.535",2026-05-25T10:00:00Z
8099731266,8834253740,"Rp 43.703.828",2026-05-25T10:00:00Z
3728081211,5080980306,"Rp 31.699.419",2026-05-25T10:00:00Z
8163652520,5056417477,"Rp 42.780.561",2026-05-25T10:00:00Z
4852946893,3837713741,"Rp 51.414.656",2026-05-25T10:00:00Z
7111044088,7551466133,"Rp 13.462.172",2026-05-25T10:00:00Z
4099334977,5338825332,"Rp 32.072.728",2026-05-25T10:00:00Z
8835744424,7208205502,"Rp 35.627.604",2026-05-25T10:00:00Z
5434202587,3564132431,"Rp 38.802.800",2026-05-25T10:00:00Z
1862174001,3156418918,"Rp 21.247.700",2026-05-25T10:00:00Z
6625872878,7181926396,"Rp 11.861.722",2026-05-25T10:00:00Z
3088891364,1163650646,"Rp 24.571.447",2026-05-25T10:00:00Z
4837572547,8378054296,"Rp 45.280.946",2026-05-25T10:00:00Z
9888108175,1003478906,"Rp 31.811.520",2026-05-25T10:00:00Z
3521957957,1910242136,"Rp 33.431.071",2026-05-25T10:00:00Z
5700365084,5511760224,"Rp 27.032.659",2026-05-25T10:00:00Z
1987055281,6942751261,"Rp 44.320.775",2026-05-25T10:00:00Z
7244248791,6835277382,"Rp 43.933.231",2026-05-25T10:00:00Z
2175430685,1653920920,"Rp 24.598.514",2026-05-25T10:00:00Z
8619980074,4007362973,"Rp 58.733.715",2026-05-25T10:00:00Z
7777427756,1772331113,"Rp 13.290.585",2026-05-25T10:00:00Z
7826096810,8357725912,"Rp 36.868.494",2026-05-25T10:00:00Z
5885197725,9578867872,"Rp 14.454.720",2026-05-25T10:00:00Z
6690682769,7243364524,"Rp 38.689.968",2026-05-25T10:00:00Z
6081467753,7807988598,"Rp 15.337.888",2026-05-25T10:00:00Z
9568531482,7174059314,"Rp 10.723.995",2026-05-25T10:00:00Z
4069768777,4976634770,"Rp 15.005.206",2026-05-25T10:00:00Z
6769086785,1181719569,"Rp 24.667.650",2026-05-25T10:00:00Z
7866803809,9683121654,"Rp 49.851.036",2026-05-25T10:00:00Z
4487235385,4408801600,"Rp 29.512.261",2026-05-25T10:00:00Z
8995932079,9100591315,"Rp 28.278.839",2026-05-25T10:00:00Z
2727376660,9018735020,"Rp 30.803.835",2026-05-25T10:00:00Z
9568360747,9536663516,"Rp 15.042.909",2026-05-25T10:00:00Z
5141239985,9829634028,"Rp 55.555.984",2026-05-25T10:00:00Z
4302895434,7498838951,"Rp 12.086.255",2026-05-25T10:00:00Z
5437039129,5328671170,"Rp 57.221.422",2026-05-25T10:00:00Z
