Source_Account,Destination_Account,Amount_IDR,Timestamp
5872963400,2725703744,"Rp 480.890.162",2026-05-25T10:00:00Z
6294274735,1963503778,"Rp 134.214.476",2026-05-25T10:00:00Z
4975728241,7832992462,"Rp 177.457.110",2026-05-25T10:00:00Z
4267360855,5354749472,"Rp 391.394.838",2026-05-25T10:00:00Z
8927512401,5636285065,"Rp 353.235.319",2026-05-25T10:00:00Z
7517879810,6905377114,"Rp 334.248.285",2026-05-25T10:00:00Z
3673154825,2267762593,"Rp 119.018.417",2026-05-25T10:00:00Z
7022464900,1811200925,"Rp 436.124.585",2026-05-25T10:00:00Z
1664666740,6171044480,"Rp 240.833.077",2026-05-25T10:00:00Z
4563622525,1260808867,"Rp 150.582.503",2026-05-25T10:00:00Z
7372276056,2381326797,"Rp 330.989.639",2026-05-25T10:00:00Z
5188911886,2706771986,"Rp 374.690.933",2026-05-25T10:00:00Z
4774246059,1946267674,"Rp 146.325.881",2026-05-25T10:00:00Z
8624064173,1228657010,"Rp 150.068.223",2026-05-25T10:00:00Z
4576809983,2833477327,"Rp 558.025.586",2026-05-25T10:00:00Z
8436633089,7530894507,"Rp 372.316.983",2026-05-25T10:00:00Z
3119410232,5931662607,"Rp 112.193.764",2026-05-25T10:00:00Z
4633369664,4685354246,"Rp 131.945.921",2026-05-25T10:00:00Z
1020956788,8649243386,"Rp 249.903.670",2026-05-25T10:00:00Z
4462588319,6570299553,"Rp 351.835.665",2026-05-25T10:00:00Z
4218152218,2321581238,"Rp 350.991.075",2026-05-25T10:00:00Z
4963792475,8204102197,"Rp 479.706.367",2026-05-25T10:00:00Z
5608547769,9536940101,"Rp 391.541.168",2026-05-25T10:00:00Z
7527753497,3000389291,"Rp 329.901.910",2026-05-25T10:00:00Z
1628412794,6870710409,"Rp 108.679.182",2026-05-25T10:00:00Z
1327272009,9462252267,"Rp 195.486.553",2026-05-25T10:00:00Z
2632978181,6957356419,"Rp 173.500.565",2026-05-25T10:00:00Z
9278248219,1927912513,"Rp 520.113.820",2026-05-25T10:00:00Z
1137657822,1744719007,"Rp 339.078.554",2026-05-25T10:00:00Z
8098706946,3979404411,"Rp 448.918.774",2026-05-25T10:00:00Z
4940308393,3528596289,"Rp 459.514.721",2026-05-25T10:00:00Z
6271037616,9111604651,"Rp 583.518.645",2026-05-25T10:00:00Z
8680059151,8211179948,"Rp 493.366.439",2026-05-25T10:00:00Z
2827551092,7281167482,"Rp 558.423.494",2026-05-25T10:00:00Z
7305053474,6660090627,"Rp 487.512.342",2026-05-25T10:00:00Z
8360916079,9782477507,"Rp 348.242.403",2026-05-25T10:00:00Z
4084321877,2052391253,"Rp 576.791.969",2026-05-25T10:00:00Z
4844896180,4132698621,"Rp 372.134.527",2026-05-25T10:00:00Z
7708141430,8468779918,"Rp 153.911.816",2026-05-25T10:00:00Z
8332213704,6235765076,"Rp 361.282.261",2026-05-25T10:00:00Z
1186016972,9202881943,"Rp 574.996.669",2026-05-25T10:00:00Z
5893334088,6903856126,"Rp 387.640.422",2026-05-25T10:00:00Z
4242296018,1569253082,"Rp 145.774.235",2026-05-25T10:00:00Z
6622309545,2042497786,"Rp 536.266.827",2026-05-25T10:00:00Z
5312761952,5414384012,"Rp 151.991.796",2026-05-25T10:00:00Z
6829366973,3922792425,"Rp 121.822.812",2026-05-25T10:00:00Z
2674247782,1450718764,"Rp 328.577.108",2026-05-25T10:00:00Z
1442973157,9048697711,"Rp 553.397.500",2026-05-25T10:00:00Z
6780161371,7244091073,"Rp 415.938.489",2026-05-25T10:00:00Z
5469819427,5584635065,"Rp 296.054.306",2026-05-25T10:00:00Z
5570766935,1475037587,"Rp 381.385.626",2026-05-25T10:00:00Z
